unit_id	year	sem	code	title	level	dept_own	dept_teach	location	mode	survey_method	enrolled	class_size_log10	size_bin	sem_ord	isclayton	ispostgrad	responses	setu_overall	ChiefExaminer
5174	2017	Semester 1	MGF5960	Organisations: people, purpose and structure	5	Department of Management	Department of Management	Caulfield	On Campus	Web	27	1.431	1	Semester 1	0	1	15	4.42	379
5352	2017	Semester 2	BTF2601	Banking law	2	Business Law & Taxation	Business Law & Taxation	Caulfield	On Campus	Web	305	2.484	5	Semester 2	0	0	67	4.08	383
5458	2017	Semester 2	ETF5912	Data analysis in business	5	Econometrics & Business Statistics	Econometrics & Business Statistics	Caulfield	On Campus	Web	56	2.442	2	Semester 2	0	1	41	4.31	38
4932	2017	Semester 1	ACF5953	Financial accounting	5	Accounting	Accounting	Caulfield	On Campus	Web	332	2.912	5	Semester 1	0	1	194	4.25	619
5013	2017	Semester 1	BFF5954	Business finance	5	Banking & Finance	Banking & Finance	Caulfield	On Campus	Web	316	2.5	5	Semester 1	0	1	149	4.3	56
5039	2017	Semester 1	BTF5904	Law and commercial decisions	5	Business Law & Taxation	Business Law & Taxation	Caulfield	On Campus	Web	138	2.14	4	Semester 1	0	1	72	4.34	381
5073	2017	Semester 1	ECF1100	Microeconomics	1	Department of Economics	Department of Economics	Caulfield	On Campus	Web	966	2.985	5	Semester 1	0	0	393	4.01	223
5210	2017	Semester 1	MKF3131	Strategic marketing	3	Department of Marketing	Department of Marketing	Caulfield	On Campus	Web	151	2.179	4	Semester 1	0	0	83	4.11	454
5261	2017	Semester 2	ACF5350	Applied contemporary accounting	5	Accounting	Accounting	Caulfield	On Campus	Web	89	1.949	3	Semester 2	0	1	48	4.38	457
5266	2017	Semester 2	ACF5953	Financial accounting	5	Accounting	Accounting	Caulfield	On Campus	Web	447	2.924	5	Semester 2	0	1	221	4.26	271
5373	2017	Semester 2	BTX3900	Research project in business law or taxation	3	Business Law & Taxation	Business Law & Taxation	Clayton	On Campus	Web	4	0.602	1	Semester 2	1	0	3	4.25	374
5497	2017	Semester 2	MGF5760	International institutions and organisations	5	Department of Management	UNKNOWN	Caulfield	On Campus	Web	59	1.771	2	Semester 2	0	1	26	4.41	243
